title,iLibraryUrl,identifier,dateOfPublication
Product Market Competition and Economic Performance in the United States,economics/product-market-competition-and-economic-performance-in-the-united-states_334545122257,334545122257,2004-07-15
Investor-to-State Dispute Settlement in Infrastructure Projects,finance-and-investment/investor-to-state-dispute-settlement-in-infrastructure-projects_416335763425,416335763425,2006-03-01
"Tracking the U.S. External Deficit, 1980-1985",economics/tracking-the-u-s-external-deficit-1980-1985_602500188875,602500188875,1987-02-01
Trends in Immigration and Economic Consequences,economics/trends-in-immigration-and-economic-consequences_553515678780,553515678780,2001-06-18
"Policy Initiatives Concerning Diet, Health and Nutrition",agriculture-and-food/policy-initiatives-concerning-diet-health-and-nutrition_221286427320,221286427320,2009-01-01
Equity in Student Achievement Across OECD Countries,economics/equity-in-student-achievement-across-oecd-countries_223056645650,223056645650,2009-07-07
Fiscal Gimmickry in Europe,economics/fiscal-gimmickry-in-europe_237714513517,237714513517,2005-02-10
The English National Health Service,economics/the-english-national-health-service_222707115448,222707115448,2009-07-22
Projets d'installations scolaires en projets d'installations scolaires en Amérique latine,education/projets-d-installations-scolaires-en-projets-d-installations-scolaires-en-amerique-latine_581654656268,581654656268,2004-10-01
Corporate Responsibility Practices of Emerging Market Companies,finance-and-investment/corporate-responsibility-practices-of-emerging-market-companies_713775068163,713775068163,2005-09-01
Do Financial Systems Converge?,economics/do-financial-systems-converge-new-evidence-from-household-financial-assets-in-selected-oecd-countries_224175173554,224175173554,2009-02-25
Social Disadvantage and Education Experiences,social-issues-migration-health/social-disadvantage-and-education-experiences_715165322333,715165322333,2006-02-17
Improving Product Market Regulation in India,economics/improving-product-market-regulation-in-india_243233330374,243233330374,2008-03-28
Au-delà de Johannesburg,development/au-dela-de-johannesburg_664237806216,664237806216,2002-08-01
Facilitating Trade and Structural Adjustment  Chile,trade/facilitating-trade-and-structural-adjustment-chile_244288817625,244288817625,2007-10-25
Venture Capital Policy Review,science-and-technology/venture-capital-policy-review_331327816481,331327816481,2003-12-08
Mobilising Public Opinion against Global Poverty,development/mobilising-public-opinion-against-global-poverty_023738715074,023738715074,2004-04-01
Ratings Since the Asian Crisis,development/ratings-since-the-asian-crisis_746001826505,746001826505,2003-11-01
The Internet and Business Performance,science-and-technology/the-internet-and-business-performance_233751540382,233751540382,2001-12-21
An Analysis of the U.S. Distribution System,economics/an-analysis-of-the-u-s-distribution-system_587542107024,587542107024,1993-01-01
Globalisation and Transformation,development/globalisation-and-transformation_116781613514,116781613514,2001-05-01
The Case of Missing Foreign Investment in the Southern Mediterranean,development/the-case-of-missing-foreign-investment-in-the-southern-mediterranean_883370106308,883370106308,1997-12-01
PISA 2000,education/pisa-2000_220456725273,220456725273,2006-06-09
The Measurement of Output and Factors of Production for the Business Sector in OECD Countries (The OECD Business Sector Database),economics/the-measurement-of-output-and-factors-of-production-for-the-business-sector-in-oecd-countries-the-oecd-business-sector-database_202373302227,202373302227,1991-05-01
Crises de la dette souveraine et indicateurs d'alerte,development/crises-de-la-dette-souveraine-et-indicateurs-d-alerte_220235167841,220235167841,2009-02-01
Unauthorized Migrants in the United States,social-issues-migration-health/unauthorized-migrants-in-the-united-states_110780068151,110780068151,2007-09-05
Ranking Port Cities with High Exposure and Vulnerability to Climate Extremes,environment/ranking-port-cities-with-high-exposure-and-vulnerability-to-climate-extremes_011766488208,011766488208,2008-11-19
Long-Run GDP Growth Framework and Scenarios for the World Economy,economics/long-run-gdp-growth-framework-and-scenarios-for-the-world-economy_227205684023,227205684023,2009-02-03
Public Expenditure Management in Poland,economics/public-expenditure-management-in-poland_836146648523,836146648523,2002-12-12
Comment réformer le système fiscal belge afin de renforcer l'expansion économique,economics/comment-reformer-le-systeme-fiscal-belge-afin-de-renforcer-l-expansion-economique_218613767672,218613767672,2009-12-18
Policies for the Development and Transfer of Eco-Innovations,environment/policies-for-the-development-and-transfer-of-eco-innovations_218676702383,218676702383,2009-12-17
Evaluating the Impact of Risk Based Funding Requirements on Pension Funds,finance-and-investment/evaluating-the-impact-of-risk-based-funding-requirements-on-pension-funds_241538717514,241538717514,2008-03-01
OECD Submission to The UK Low Pay Mission,social-issues-migration-health/oecd-submission-to-the-uk-low-pay-mission_046632218057,046632218057,1997-01-01
Are Workers' Remittances Relevant for Credit Rating Agencies?,development/are-workers-remittances-relevant-for-credit-rating-agencies_220574013385,220574013385,2009-10-09
Differences in Resilience Between the Euro-Area and US Economies,economics/differences-in-resilience-between-the-euro-area-and-us-economies_765432685773,765432685773,2004-03-04
International Investment-Income Determination in INTERLINK,economics/international-investment-income-determination-in-interlink_700735334367,700735334367,1987-06-01
Regulation of Financial Systems and Economic Growth,economics/regulation-of-financial-systems-and-economic-growth_870803826715,870803826715,2006-08-02
"Queen Margaret University College's Sustainable, Community Campus",education/queen-margaret-university-college-s-sustainable-community-campus_380610627854,380610627854,2006-11-01
Study Support in Extra Time in the United Kingdom,education/study-support-in-extra-time-in-the-united-kingdom_450338214054,450338214054,1999-06-01
Progress and Challenges in the Application of Economic Analysis for Transport Policy and Decision Making,transport/progress-and-challenges-in-the-application-of-economic-analysis-for-transport-policy-and-decision-making_234621651414,234621651414,2007-12-01
Prix des ressources naturelles et politique macroéconomique,economics/prix-des-ressources-naturelles-et-politique-macroeconomique_033174516456,033174516456,1983-04-22
Le partage du fardeau entre les créanciers de pays débiteurs défaillants,development/le-partage-du-fardeau-entre-les-creanciers-de-pays-debiteurs-defaillants_267878327340,267878327340,1991-09-01
Internet Address Space,science-and-technology/internet-address-space_230461618475,230461618475,2008-06-18
"The Concept, Policy Use and Measurement of Structural Unemployment",economics/the-concept-policy-use-and-measurement-of-structural-unemployment_785730283515,785730283515,2000-06-22
Biotechnology Statistics in OECD Member Countries,science-and-technology/biotechnology-statistics-in-oecd-member-countries_304575100848,304575100848,2004-09-08
Telecommunication Regulatory Institutional Structures and Responsibilities,science-and-technology/telecommunication-regulatory-institutional-structures-and-responsibilities_231741271464,231741271464,2006-01-11
Microeconometric Analysis of the Retirement Decision,economics/microeconometric-analysis-of-the-retirement-decision_127268520146,127268520146,1998-06-23
Rebalancing the Public and Private Sectors,development/rebalancing-the-public-and-private-sectors_247565525333,247565525333,1989-07-01
Extending Insurance?,development/extending-insurance_103027727461,103027727461,2004-12-01
The Benefits and Costs of Structural Separation of the Local Loop,science-and-technology/the-benefits-and-costs-of-structural-separation-of-the-local-loop_232804472031,232804472031,2003-11-03
Une conception urbaine écologique en Australie,education/une-conception-urbaine-ecologique-en-australie_631235462006,631235462006,2003-10-01
Projets de conception des bâtiments scolaires en Nouvelle-Galles du Sud,education/projets-de-conception-des-batiments-scolaires-en-nouvelle-galles-du-sud_700108663801,700108663801,2003-02-01
The Obesity Epidemic: Analysis of Past and Projected Future Trends in Selected OECD Countries,social-issues-migration-health/the-obesity-epidemic-analysis-of-past-and-projected-future-trends-in-selected-oecd-countries_225215402672,225215402672,2009-03-20
"Corporate Governance in Developing, Transition and Emerging-Market Economies",development/corporate-governance-in-developing-transition-and-emerging-market-economies_604227826337,604227826337,2004-02-24
Pharmaceutical Pricing and Reimbursement Policies in Slovakia,social-issues-migration-health/pharmaceutical-pricing-and-reimbursement-policies-in-slovakia_244264621247,244264621247,2008-02-25
Financing SMEs in Africa,development/financing-smes-in-africa_021052635664,021052635664,2005-05-01
Information Infrastructure Policies,science-and-technology/information-infrastructure-policies_237347378543,237347378543,1996-01-01
International Strategic Alliances,science-and-technology/international-strategic-alliances_613723204010,613723204010,2000-07-07
The Costs of Delaying fiscal Consolidation,economics/the-costs-of-delaying-fiscal-consolidation_063623425055,063623425055,2007-10-18
"Quantifying the Effect of Financial Conditions in the Euro Area, Japan, United Kingdom and United States",economics/quantifying-the-effect-of-financial-conditions-in-the-euro-area-japan-united-kingdom-and-united-states_226365806132,226365806132,2009-03-09
The Swedish Activity Guarantee,social-issues-migration-health/the-swedish-activity-guarantee_631026763167,631026763167,2004-01-22
Age of Withdrawal from the Labour Force in OECD Countries,social-issues-migration-health/age-of-withdrawal-from-the-labour-force-in-oecd-countries_327074367476,327074367476,2002-01-11
How Bad Governance Impedes Poverty Alleviation in Bangladesh,development/how-bad-governance-impedes-poverty-alleviation-in-bangladesh_466441620275,466441620275,1998-11-01
Crime Prevention Through Environmental Design,education/crime-prevention-through-environmental-design_605207554154,605207554154,2004-10-01
Biotechnology and Sustainable Agriculture,development/biotechnology-and-sustainable-agriculture_711068780307,711068780307,1994-12-01
Adjustment under Fixed Exchange Rates,economics/adjustment-under-fixed-exchange-rates_308482533382,308482533382,1992-04-01
China's Trade and Growth,trade/china-s-trade-and-growth_274600240481,274600240481,2006-11-28
